query,bgpx,found,varSize,size,ms,gen
query-252.rq,1,4,4,3,0,12
query-252.rq,2,6,3,1,1,12
query-253.rq,1,1,0,0,0,1
query-253.rq,2,4,3,2,0,4
query-254.rq,1,2,3,3,0,4
query-254.rq,2,2,3,3,0,4
query-254.rq,3,2,3,3,0,4
query-254.rq,4,4,5,6,1,16
query-255.rq,0,-1,0,0,0,0
query-256.rq,1,8192,18,16,1191,12288
query-257.rq,1,256,9,8,7,256
query-258.rq,1,16,5,4,0,16
query-258.rq,2,4,3,2,1,4
query-259.rq,1,2048,16,14,165,3072
query-26.rq,0,-1,0,0,0,0
query-260.rq,1,6,3,1,0,12
query-261.rq,1,512,10,9,16,512
query-262.rq,1,1,1,1,0,2
query-263.rq,1,6,3,1,0,12
query-264.rq,0,-1,0,0,0,0
query-265.rq,1,2,2,1,0,2
query-266.rq,1,1,0,0,0,1
query-266.rq,2,4,5,5,0,8
query-267.rq,1,4,5,5,0,72
query-267.rq,2,2,3,2,0,6
query-267.rq,3,32,9,8,14,864
query-267.rq,4,2,3,2,0,6
query-268.rq,1,4,3,2,0,4
query-269.rq,1,2,2,1,0,2
query-269.rq,2,2,2,1,0,2
query-269.rq,3,2,2,1,0,2
query-269.rq,4,4,3,2,0,4
query-269.rq,5,2,2,1,0,2
query-269.rq,6,2,2,1,0,2
query-269.rq,7,4,3,2,0,4
query-269.rq,8,2,2,2,0,4
query-269.rq,9,2,2,1,0,2
query-269.rq,10,4,3,2,0,4
query-27.rq,1,4,4,3,0,12
query-27.rq,2,2,2,1,0,2
query-270.rq,0,-1,0,0,0,0
query-271.rq,0,-1,0,0,0,0
query-272.rq,1,6,3,1,0,12
query-273.rq,1,8,7,9,1,64
query-273.rq,2,4,6,9,0,64
query-274.rq,1,2,3,3,0,4
query-274.rq,2,4,5,6,0,16
query-275.rq,1,4,5,6,0,16
query-275.rq,2,4,5,6,0,16
query-275.rq,3,4,5,6,0,16
query-275.rq,4,4,6,9,1,64
query-276.rq,1,2,3,3,0,4
query-276.rq,2,2,3,3,0,4
query-276.rq,3,8,7,9,1,64
query-276.rq,4,8,7,9,1,64
query-277.rq,1,1,0,0,0,1
query-277.rq,2,16,8,6,1,24
query-278.rq,1,2,2,1,0,2
query-278.rq,2,2,2,1,0,2
query-278.rq,3,2,2,1,0,2
query-278.rq,4,4,3,2,0,4
query-278.rq,5,2,2,1,0,2
query-279.rq,1,16,5,4,0,16
query-28.rq,0,-1,0,0,0,0
query-280.rq,1,2,3,3,0,4
query-280.rq,2,2,3,3,0,4
query-280.rq,3,2,3,3,0,4
query-280.rq,4,4,5,6,1,16
query-280.rq,5,2,3,3,0,4
query-280.rq,6,2,3,3,0,4
query-280.rq,7,8,7,9,1,64
query-280.rq,8,2,3,3,0,4
query-280.rq,9,2,3,3,1,4
query-280.rq,10,2,3,3,0,4
query-280.rq,11,4,5,6,0,16
query-281.rq,1,4,3,2,0,4
query-282.rq,1,2,3,3,0,4
query-282.rq,2,2,3,3,0,4
query-282.rq,3,2,3,3,0,4
query-282.rq,4,4,5,6,1,16
query-283.rq,1,8192,18,16,1284,12288
query-284.rq,1,16,5,4,1,16
query-284.rq,2,2,2,1,0,2
query-284.rq,3,8,4,3,1,8
query-285.rq,1,32,7,6,1,96
query-286.rq,1,2,2,1,0,2
query-286.rq,2,1,1,1,1,2
query-287.rq,1,6,3,1,0,12
query-288.rq,1,16,5,4,0,16
query-289.rq,0,-1,0,0,0,0
query-29.rq,0,-1,0,0,0,0
query-290.rq,1,1,0,0,0,1
query-290.rq,2,8,6,4,0,12
query-291.rq,1,64,7,6,2,64
query-292.rq,1,2,2,1,0,2
query-292.rq,2,2,2,1,0,2
query-292.rq,3,2,2,1,0,2
query-292.rq,4,4,3,2,0,4
query-292.rq,5,2,2,1,0,2
query-293.rq,1,2,3,2,0,2
query-293.rq,2,2,2,1,0,2
query-293.rq,3,2,2,1,0,2
query-293.rq,4,4,4,2,0,4
query-293.rq,5,2,2,1,0,2
query-293.rq,6,2,2,1,0,2
query-293.rq,7,2,2,1,0,2
query-293.rq,8,2,2,1,0,2
query-293.rq,9,2,2,1,0,2
query-293.rq,10,2,2,1,0,2
query-293.rq,11,8,4,3,0,8
query-293.rq,12,2,2,1,0,2
query-293.rq,13,2,2,1,0,2
query-293.rq,14,4,3,2,0,4
query-293.rq,15,2,3,2,0,2
query-293.rq,16,2,2,1,0,2
query-293.rq,17,2,2,1,0,2
query-293.rq,18,2,2,1,0,2
query-293.rq,19,2,2,1,0,2
query-293.rq,20,2,2,1,0,2
query-293.rq,21,2,2,1,0,2
query-293.rq,22,2,2,1,0,2
query-294.rq,1,1,0,0,0,1
query-294.rq,2,2,2,1,0,2
query-294.rq,3,6,3,1,0,12
query-295.rq,1,16,7,7,2,288
query-296.rq,1,8,4,3,0,8
query-297.rq,0,-1,0,0,0,0
query-298.rq,1,2,2,1,0,2
query-298.rq,2,2,2,1,0,2
query-298.rq,3,2,2,1,0,2
query-298.rq,4,4,3,2,0,4
query-299.rq,1,8,4,3,1,8
query-299.rq,2,2,2,1,0,2
query-3.rq,1,4,3,2,0,4
query-3.rq,2,4,3,2,0,4
query-30.rq,1,1,0,0,0,1
query-30.rq,2,10,5,3,0,72
query-300.rq,1,4,3,2,0,4
query-301.rq,1,4,5,5,0,72
query-301.rq,2,2,3,2,0,6
query-301.rq,3,32,9,8,6,864
query-301.rq,4,2,3,2,0,6
query-302.rq,1,2,2,1,0,2
query-302.rq,2,2,2,1,0,2
query-302.rq,3,2,2,1,0,2
query-302.rq,4,4,3,2,0,4
query-303.rq,1,2,2,1,0,2
query-303.rq,2,2,2,1,0,2
query-303.rq,3,8,4,3,0,8
query-303.rq,4,8,4,3,0,8
query-304.rq,1,8,7,9,1,64
query-305.rq,1,4,6,6,0,16
query-306.rq,1,1,0,0,0,1
query-306.rq,2,4,5,3,0,6
query-307.rq,1,24,5,3,0,48
query-308.rq,1,4,3,2,0,4
query-308.rq,2,2,2,1,0,2
query-309.rq,1,1,0,0,0,1
query-309.rq,2,2,2,1,0,2
query-309.rq,3,4,3,2,0,4
query-309.rq,4,8,4,3,0,8
query-309.rq,5,8,6,4,0,12
query-309.rq,6,16,7,5,1,24
query-309.rq,7,32,8,6,1,48
query-309.rq,8,64,9,7,2,96
query-309.rq,9,128,10,8,5,192
query-309.rq,10,128,11,9,5,192
query-309.rq,11,2048,16,14,184,3072
query-31.rq,1,4,4,2,0,4
query-310.rq,1,1,0,0,0,1
query-310.rq,2,2,2,1,0,2
query-310.rq,3,4,3,2,0,4
query-310.rq,4,8,4,3,0,8
query-310.rq,5,8,6,4,0,12
query-310.rq,6,16,7,5,1,24
query-310.rq,7,32,8,6,1,48
query-310.rq,8,64,9,7,2,96
query-310.rq,9,128,10,8,4,192
